day_time,actual,pred,actual_orig,pred_orig,residual
2016-03-07,-2.5910823560348906,-2.5927386,0.0622900715732621,0.06229007,0.001656272352560606
2016-03-08,-2.6011320890251266,-2.5681174,0.0622900705682888,0.062290072,-0.03301470888291469
2016-03-09,-1.6846820590638023,-1.6628361,0.0622901622132918,0.06229016,-0.021845984234700744
2016-03-10,-1.6846820590638023,-1.6628361,0.0622901622132918,0.06229016,-0.021845984234700744
2016-03-11,-1.3943306740454853,-1.4018874,0.0622901912484303,0.062290188,0.007556742794114335
2016-03-12,-0.9130209660535016,-0.9469316,0.0622902393794011,0.062290236,0.03391063451717713
2016-03-13,-0.7562327770244126,-0.7854754,0.06229025505822,0.06229025,0.029242596243714836
2016-03-14,-0.6412417140333471,-0.6498769,0.0622902665573263,0.062290266,0.008635178533333843
2016-03-15,-0.3045821640040858,-0.3228215,0.0622903002232813,0.062290296,0.018239333913089517
2016-03-16,0.02951942093543103,-0.024947485,0.0622903336334398,0.062290326,0.05446690589062264
2016-03-17,0.5917742689626193,0.57225734,0.0622903898589246,0.062290385,0.01951692900824309
2016-03-18,0.7722318539488127,0.72165436,0.0622904079046831,0.0622904,0.050577498422842204
2016-03-19,0.8573276489426407,0.85485715,0.0622904164142626,0.062290415,0.0024705022026809687
2016-03-20,0.8964708759356954,0.9067066,0.0622904203285853,0.06229042,-0.010235695643284082
2016-03-21,0.9626300999376891,0.9639915,0.0622904269445077,0.062290426,-0.001361422851312355
2016-03-22,0.9509785369593571,0.93129474,0.0622904257793514,0.062290423,0.01968379771298867
2016-03-23,0.877790691938829,0.8718564,0.0622904184605669,0.062290415,0.005934300508927848
2016-03-24,0.7021769119625043,0.6969177,0.0622904008991889,0.0622904,0.005259199274058268
2016-03-25,0.5439671380003119,0.5476096,0.0622903850782115,0.062290385,-0.0036424892465447556
2016-03-26,0.33987879795305265,0.3778935,0.0622903646693775,0.062290367,-0.03801470952756869
2016-03-27,0.18465431995962067,0.21360983,0.0622903491469297,0.06229035,-0.028955509585400385
2016-03-28,0.05826807099318376,0.073545516,0.0622903365083048,0.062290337,-0.0152774445440782
2016-03-29,-0.037531912022714664,-0.026298089,0.0622903269283065,0.062290326,-0.011233823069815685
2016-03-30,-0.12765205406606306,-0.11580757,0.0622903179162923,0.06229032,-0.011844483548999918
2016-03-31,-0.16734147401109567,-0.15211228,0.0622903139473503,0.062290315,-0.0152291986490809
2016-04-01,-0.1643203180468067,-0.14423013,0.0622903142494659,0.062290315,-0.020090190712211964
2016-04-02,-0.11006777406175061,-0.106710136,0.0622903196747203,0.06229032,-0.003357638125013551
2016-04-03,0.0019711119542131783,-0.00985614,0.0622903308786089,0.06229033,0.011827252195240057
2016-04-04,0.08011137496433118,0.0634025,0.0622903386926352,0.062290337,0.016708878686045203
2016-04-05,0.13716818798858998,0.13361832,0.0622903443983165,0.062290344,0.003549862993549091
2016-04-06,0.17474493997637897,0.17166452,0.0622903481559917,0.062290348,0.003080418878242064
2016-04-07,0.22473842099801633,0.2354855,0.0622903531553398,0.06229035,-0.010747073138793972
2016-04-08,0.31012497396509797,0.30563632,0.0622903616939951,0.06229036,0.004488657427240916
